frame,openness,energy
1050,7.6713,0.000000
1051,6.7270,0.000089
1052,5.2087,0.000099
1053,4.3315,0.007073
1054,4.8345,0.042296
1055,4.9772,0.072784
1056,5.1026,0.077760
1057,4.4415,0.078350
1058,5.6216,0.067504
1059,5.6961,0.034364
1060,6.4778,0.022969
1061,7.0769,0.021751
1062,7.6463,0.019273
1063,6.3729,0.015472
1064,5.3926,0.018231
1065,5.5082,0.049193
1066,5.8340,0.072089
1067,5.8796,0.077227
1068,6.8053,0.076794
1069,6.8201,0.061284
1070,6.5738,0.037397
1071,6.2428,0.062774
1072,5.7456,0.072978
1073,5.1723,0.074059
1074,3.2254,0.072306
1075,2.9006,0.045437
1076,2.9071,0.050412
1077,3.1008,0.060624
1078,3.3588,0.060635
1079,5.4894,0.060419
1080,3.6495,0.047175
1081,3.3035,0.037580
1082,6.8487,0.038954
1083,6.3525,0.038147
1084,5.9738,0.030069
1085,6.0376,0.019767
1086,6.3161,0.008113
1087,5.9515,0.002836
1088,6.1553,0.000265
1089,6.2096,0.000115
1090,6.8167,0.000000
1091,4.8988,0.000000
1092,4.8988,0.000000
1093,6.2335,0.000100
1094,5.3067,0.000155
1095,4.2419,0.000190
1096,5.7554,0.001557
1097,6.3002,0.016403
1098,6.1712,0.030408
1099,6.0692,0.037726
1100,6.2067,0.039212
1101,6.3968,0.038285
1102,6.3862,0.039245
1103,3.7170,0.057797
1104,3.7686,0.062510
1105,3.7121,0.062220
1106,3.7413,0.058323
1107,2.7837,0.037057
1108,2.7262,0.053208
1109,2.7483,0.060079
1110,2.8571,0.059774
1111,5.1538,0.058500
1112,4.0062,0.043575
1113,3.1845,0.039207
1114,6.3522,0.036937
1115,5.7325,0.035308
1116,5.8713,0.025070
1117,5.9953,0.007281
1118,6.5398,0.001489
1119,6.7547,0.000088
1120,6.1675,0.000029
1121,6.4609,0.000021
1122,7.3682,0.000000
1123,4.8988,0.000000
1124,4.8988,0.000000
1125,4.8988,0.000000
1126,4.8988,0.000000
1127,4.8988,0.000000
1128,4.8988,0.000000
1129,4.8988,0.000000
1130,4.8988,0.000000
1131,4.8988,0.000000
1132,4.8988,0.000000
1133,4.8988,0.000000
1134,4.8988,0.000000
1135,4.8988,0.000000
1136,7.2511,0.000017
1137,6.6240,0.000029
1138,4.7752,0.000299
1139,4.1615,0.003062
1140,4.4260,0.090359
1141,3.7726,0.168266
1142,3.6583,0.198456
1143,3.7863,0.206852
1144,4.6997,0.188217
1145,4.0873,0.123642
1146,4.0237,0.065931
1147,5.8408,0.031407
1148,3.8310,0.033958
